Id,Label,name,city,country,icao,latitude,longitude,altitude,timezone,dst,tz database time zone,type,source,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,nodecolor-multimode,giantcomponent,pageranks,eigencentrality
7658,APC,Napa County Airport,Napa,United States,KAPC,38.2132,-122.280998,35,-8,A,America/Los_Angeles,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2641,0.000039,0
7659,SDM,Brown Field Municipal Airport,San Diego,United States,KSDM,32.5723,-116.980003,526,-8,A,America/Los_Angeles,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2642,0.000039,0
7660,\N,Wangen-Lachen Airport,Wangen-Lachen,Switzerland,LSPV,47.2047,8.8675,1335,1,U,Europe/Zurich,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2643,0.000039,0
7662,VNC,Venice Municipal Airport,Venice,United States,KVNC,27.0716,-82.4403,18,-5,A,America/New_York,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2644,0.000039,0
7663,PHK,Palm Beach County Glades Airport,Pahokee,United States,KPHK,26.785,-80.693398,16,-5,A,America/New_York,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2645,0.000039,0
7669,ECP,Northwest Florida Beaches International Airport,Panama City,United States,KECP,30.357106,-85.795414,69,-6,A,America/Chicago,airport,OurAirports,7,7,14,8,7,7,14,8,0.273269,0.29133,0,68,red,0,0.000091,0.020253
7670,SBD,San Bernardino International Airport,San Bernardino,United States,KSBD,34.095402,-117.235001,1159,-8,A,America/Los_Angeles,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2646,0.000039,0
7671,VAL,Valen�a Airport,Valenca,Brazil,SNVB,-13.2965,-38.992401,21,-3,S,America/Fortaleza,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2647,0.000039,0
7673,CAU,Caruaru Airport,Caruaru,Brazil,SNRU,-8.28239,-36.0135,1891,-3,S,America/Fortaleza,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2648,0.000039,0
7674,AWK,Wake Island Airfield,Wake island,Wake Island,PWAK,19.282101,166.636002,14,-10,U,Pacific/Johnston,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2649,0.000039,0
7675,QNV,Aeroclube Airport,Nova Iguacu,Brazil,SDNY,-22.7453,-43.4603,164,-3,S,America/Sao_Paulo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2650,0.000039,0
7683,SQL,San Carlos Airport,San Carlos,United States,KSQL,37.511902,-122.25,5,-8,A,America/Los_Angeles,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2651,0.000039,0
7684,\N,Courtelary Airport,Courtelary,Switzerland,LSZJ,47.183601,7.09083,2247,1,E,Europe/Zurich,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2652,0.000039,0
7685,\N,Lotnisko Korne,Koszalin,Poland,EPKO,54.129583,17.844972,515,1,E,Europe/Warsaw,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2653,0.000039,0
7686,\N,Camp Okavango Airport,Okavango Delta,Botswana,FBCO,-19.131115,23.102505,3158,2,U,Africa/Gaborone,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2654,0.000039,0
7690,RWI,Rocky Mount Wilson Regional Airport,Rocky Mount,United States,KRWI,35.8563,-77.891899,159,-5,A,America/New_York,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2655,0.000039,0
7691,\N,Whittier Airport,Whittier,United States,PAWR,60.777199,-148.722,30,-9,U,America/Anchorage,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2656,0.000039,0
7692,SXQ,Soldotna Airport,Soldotna,United States,PASX,60.4757,-151.033997,113,-9,U,America/Anchorage,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2657,0.000039,0
7693,SEE,Gillespie Field,El Cajon,United States,KSEE,32.826199,-116.972,388,-8,A,America/Los_Angeles,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2658,0.000039,0
